num_cores,memory_size,npartitions,num_executor,time
"2","4g","4","3","540.34s"
"2","4g","4","3","424.76s"
"2","4g","4","3","289.59s"
"2","4g","4","3","257.32s"
"2","3g","2","6","513.74s"
"2","3g","2","6","393.21s"
"2","3g","2","6","269.87s"
"2","3g","2","6","523.54s"
"3","4g","2","3","258.76s"
"3","4g","2","3","265.34s"
"3","4g","2","3","289.62s"
"3","4g","2","3","279.31s"
"3","3g","2","3","258.85s"
"3","3g","2","3","265.54s"
"3","3g","2","3","307.21s"
"3","3g","2","3","283.34s"
"4","4g","2","6","283.77s"
"4","4g","2","6","305.12s"
"4","4g","2","6","282.16s"
"4","4g","2","6","280.26s"

